id,talep_metni,birim,modul,surec_talep_tipi,oncelik
185,Selin Hanım adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
186,3 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
187,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
188,15 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
189,Emre Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
190,Satış ofisi'daki tüm bilgisayarlarda bordro yazılımı güncellensin lütfen.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
191,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
192,Mükremin Bey rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
193,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
194,Ayşe Hanım için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
195,"Ankara ofisi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
196,"Emre Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
197,Emre Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
198,Emre Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
199,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
200,Misafir Wi-Fi ağına erişim talep ediyorum.,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
201,"Depo'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
202,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
203,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
204,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
205,Mükremin Bey isimli adayın CV değerlendirmesi yapılabilir mi?,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
206,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
207,"ITSM portalı açılırken hata veriyor, geçen hafta beri sorun yaşıyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
208,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
209,"Excel açılırken hata veriyor, dün beri sorun yaşıyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Kritik
210,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
211,Ahmet Bey'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
212,Toplantı öncesi Ankara ofisi'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
213,3. kat'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
214,"Satış ofisi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
215,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
216,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
217,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
218,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
219,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
220,Yurt dışı hattı açılması için talep oluşturuyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
221,Çağrı merkezi'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
222,Merve Hanım'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
223,Burak Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
224,"İK ofisi için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
225,"VPN'e bağlanamıyorum, dün beri hata alıyorum.",Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
226,Hakan Bey için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
227,608 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
228,Zeynep Hanım rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
229,"geçen hafta itibarıyla izne çıkmak istiyorum, onay rica ederim.",İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
230,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
231,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
232,2. kat toplantı salonu'daki halı yıkama talebinde bulunuyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
233,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
234,"Burak Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
235,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
236,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
237,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
238,Zeynep Hanım için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
239,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
240,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
241,"bordro yazılımı dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
242,Hakan Bey için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
243,Muhasebe birimi yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
244,"Araç periyodik bakım zamanı geldi, randevu talep ediyorum.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
245,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
246,Mehmet Bey için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
247,Toplantı öncesi Lojistik binası'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
248,"Elif Hanım olarak internete bağlanamıyorum, acil destek gerekiyor.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
249,"Genel Müdürlük'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
250,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
251,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
252,Lojistik binası'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
253,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
254,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
255,Mükremin Bey olarak 3 gün izin kullanmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
256,Zeynep Hanım olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
257,Yeni işe başlayan personel için e-posta hesabı talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
258,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
259,Lojistik binası'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
260,Toplantı öncesi Depo'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
261,Lojistik binası'daki bilgisayarlara ERP sistemi kurulması gerekiyor.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
262,"monitörüm çok eski, yükseltme yapılabilir mi?",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
263,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
264,"Kocaeli fabrikası'daki yazıcı çalışmıyor, kağıt sıkışması var.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
265,Ahmet Bey olarak ERP sistemi kullanırken hata kodu alıyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
266,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
267,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
268,Tuvalet kağıdı ve kağıt havlu talep ediyorum.,İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
269,"Çağrı merkezi'da internet bağlantısı kesik, bugün beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
270,Burak Bey'in ITSM portalı modülüne erişim yetkisi olması gerekiyor.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
271,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
272,Mehmet Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
273,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
274,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
275,"Ana bina'da internet bağlantısı kesik, bu ay içinde beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
276,Yeni işe başlayan arkadaşımız için dizüstü bilgisayar talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
277,İnsan Kaynakları katı için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
278,VPN şifremi girmeme rağmen bağlantı sağlanamıyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
279,Excel eğitimine kayıt olmak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
280,Merve Hanım için hizmet belgesi çıkarılmasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
281,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
282,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
283,Fatma Hanım servis güzergahının değiştirilmesini talep ediyor.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
284,"Şifremi unuttum, sıfırlanmasını rica ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
285,Selin Hanım için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
286,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
287,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
288,Burak Bey müşteri ziyareti için araç tahsisi istiyor.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
289,977 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
290,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
291,İzmir şubesi'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
292,"Burak Bey izin gününü ertelemek istiyor, işlem yapılabilir mi?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
293,"Mükremin Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
294,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
295,Fatma Hanım'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
296,"Lojistik binası'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
297,Ankara ofisi'daki sabit telefon hattı çalışmıyor.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Orta
298,"Sistem geneli çok yavaş çalışıyor, bu sabah beri.",Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
299,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
300,Fatma Hanım için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
301,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
302,2. kat toplantı salonu'daki halı yıkama talebinde bulunuyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
303,Merve Hanım için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
304,"Adobe Acrobat şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
305,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
306,bu sabah saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
307,"Yazıcıdan çıktı alamıyorum, dün beri arızalı.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
308,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
309,3 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
310,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
311,Selin Hanım için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
312,"Çağrı merkezi'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
313,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
314,"Deniz Hanım olarak sistem şifremi hatırlamıyorum, yardımcı olur musunuz?",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
315,Gökhan Bey'e muhasebe programı için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
316,bu ay içinde için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
317,"Kocaeli fabrikası'daki yazıcı çalışmıyor, kağıt sıkışması var.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
318,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
319,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
320,Caner Bey için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
321,"ERP sistemi dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
322,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
323,"Satış ofisi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
324,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
325,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
326,"Satış ofisi'daki yazıcı çalışmıyor, kağıt sıkışması var.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
327,Deniz Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
328,Deniz Hanım'e Excel için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
329,Yeni işe başlayan personel için e-posta hesabı talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
330,Hakan Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
331,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
332,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
333,"Hakan Bey olarak internete bağlanamıyorum, acil destek gerekiyor.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
334,Çağrı merkezi'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
335,Yemeklerin kalitesiyle ilgili bir şikayetim var.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
336,Caner Bey'in Adobe Acrobat modülüne erişim yetkisi olması gerekiyor.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
337,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
338,"tabletim çok yavaş açılıyor, kontrol edilmesini rica ediyorum.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Orta
339,"Mehmet Bey'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
340,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
341,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
342,"masaüstü bilgisayarım açılmıyor, bir arıza var galiba.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
343,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
344,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
345,Lojistik binası'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
346,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
347,950 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
348,Caner Bey için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
349,Zeynep Hanım için VPN erişim talebi açmak istiyorum.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
350,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
351,Adobe Acrobat için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
352,124 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
353,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
354,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
355,Kocaeli fabrikası'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
356,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
357,Gökhan Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
358,"Ayşe Hanım izin gününü ertelemek istiyor, işlem yapılabilir mi?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
359,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
360,"Muhasebe birimi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
361,"İzmir şubesi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
362,2. kat toplantı salonu'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
363,Deniz Hanım olarak ERP sistemi kullanırken hata kodu alıyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Kritik
364,Selin Hanım için VPN istemcisi kurulumu talep ediyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
365,220 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
366,"faremim sürekli donuyor, az önce beri böyle.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
367,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
368,"Ankara ofisi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
369,Yemeklerin kalitesiyle ilgili bir şikayetim var.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
